name,team,pos,gms,pts,reb,ast,blk,stl,fg%,ft%,3p%,ftm,2pm,3pm,to,min,dd2,td3,fpts
Kyrie Irving,BOS,PG,60,1466,227,306,17,65,49.1,88.9,40.8,232,368,166,140,1931,1,0,2221.4
Blake Griffin,DET,PF,58,1242,428,334,18,41,43.8,78.5,34.5,259,325,111,166,1969,16,3,2208.6
Otto Porter Jr.,WAS,SF,77,1134,492,157,41,116,50.3,82.8,44.1,106,307,138,75,2431,13,0,2198.9
Goran Dragic,MIA,PG,75,1296,307,359,12,63,45.0,80.1,37.0,217,373,111,166,2378,3,0,2186.9
Al Horford,BOS,PF,72,927,530,339,79,43,48.9,78.3,42.9,94,271,97,132,2277,15,0,2183.5
Jamal Murray,DEN,PG,81,1352,297,274,29,79,45.1,90.5,37.8,229,314,165,171,2565,1,0,2164.4
Spencer Dinwiddie,BKN,PG,80,1007,258,524,24,68,38.7,81.3,32.6,218,183,141,129,2305,7,0,2157.6
Dennis Schröder,ATL,PG,67,1301,208,417,6,72,43.7,84.9,29.0,225,424,76,183,2078,5,0,2149.1
Stephen Curry,GS,PG,51,1346,261,309,8,80,49.5,92.1,42.3,278,216,212,153,1631,5,0,2145.7
Klay Thompson,GS,SG,73,1461,277,185,34,55,48.8,83.7,44.0,82,346,229,127,2505,2,0,2121.9
Enes Freedom,NY,C,71,1000,780,105,37,36,59.2,84.8,0.0,156,422,0,122,1829,39,0,2117.5
Ricky Rubio,UTA,PG,77,1008,351,410,11,121,41.8,86.6,35.2,220,250,96,208,2254,11,0,2100.2
Dario Saric,PHI,PF,78,1141,521,202,20,51,45.3,86.0,39.3,178,246,157,148,2309,13,0,2063.2
Kyle Kuzma,LAL,PF,77,1242,483,141,34,49,45.0,70.7,36.6,147,309,159,140,2401,17,0,2059.1
Jeff Teague,MIN,PG,70,994,209,492,23,102,44.6,84.5,36.8,202,270,84,177,2311,13,0,2055.8
Robert Covington,PHI,SF,80,1009,433,156,72,137,41.3,85.3,36.9,116,142,203,128,2531,7,0,2052.6
Carmelo Anthony,OKC,PF,78,1261,453,103,49,47,40.4,76.7,35.7,148,303,169,100,2502,6,0,2051.1
Thaddeus Young,IND,PF,81,955,513,152,37,134,48.7,59.8,32.0,55,363,58,105,2607,9,0,2035.6
Taurean Prince,ATL,SF,82,1158,389,214,42,84,42.6,84.4,38.5,152,239,176,192,2463,5,0,2005.8
Joe Ingles,UTA,SF,82,940,344,392,20,91,46.7,79.5,44.0,66,131,204,159,2578,4,0,2003.8
Taj Gibson,MIN,PF,82,999,582,99,58,62,57.7,76.8,20.0,142,418,7,89,2726,18,0,1996.9
Josh Richardson,MIA,SF,81,1045,285,231,75,121,45.1,84.5,37.8,120,272,127,138,2689,0,0,1987.5
Nikola Vucevic,ORL,C,57,939,525,191,63,56,47.5,81.9,31.4,77,335,64,109,1684,29,1,1984.5
Willie Cauley-Stein,SAC,C,73,932,511,172,67,77,50.2,61.9,23.1,153,385,3,109,2044,12,0,1982.2
Jonas Valanciunas,TOR,C,77,980,660,81,69,29,56.8,80.6,40.5,170,360,30,115,1727,26,0,1974.5
Pau Gasol,SA,C,77,775,618,239,79,24,45.8,75.6,35.8,158,244,43,108,1812,16,1,1973.1
Jayson Tatum,BOS,SF,80,1112,401,128,58,83,47.5,82.6,43.4,213,292,105,115,2437,3,0,1952.2
Devin Booker,PHO,SG,54,1346,243,253,14,47,43.2,87.8,38.3,289,308,147,194,1865,4,0,1945.1
Derrick Favors,UTA,PF,77,944,551,102,82,54,56.3,65.1,22.2,140,381,14,88,2154,15,0,1942.2
T.J. Warren,PHO,SF,65,1271,333,85,41,65,49.7,75.7,22.2,193,509,20,84,2141,6,0,1926.1
Kevin Love,CLE,PF,59,1039,545,103,24,43,45.8,88.0,41.5,234,197,137,90,1651,31,0,1891.5
Dennis Smith Jr.,DAL,PG,69,1048,260,358,18,71,39.5,69.4,31.3,134,298,106,194,2049,6,1,1881.0
Aaron Gordon,ORL,PF,58,1022,457,136,45,59,43.4,69.8,33.6,157,260,115,107,1909,17,0,1875.4
DeMarre Carroll,BKN,SF,73,983,479,147,30,60,41.3,76.4,37.0,188,180,145,103,2179,13,0,1855.3
Rondae Hollis-Jefferson,BKN,SF,68,946,459,167,48,65,47.2,78.8,24.1,249,329,13,121,1920,12,0,1852.3
Kentavious Caldwell-Pope,LAL,SG,74,992,386,162,16,106,42.6,78.9,38.3,153,181,159,97,2458,3,0,1845.2
Lauri Markkanen,CHI,PF,68,1033,508,79,40,40,43.4,84.3,36.2,140,229,145,83,2020,14,0,1838.1
Rudy Gobert,UTA,C,56,756,601,80,129,44,62.3,68.2,,204,276,0,107,1816,31,0,1836.2
Gary Harris,DEN,SG,67,1170,176,194,15,122,48.5,82.7,39.6,134,284,156,119,2305,0,0,1827.2
Terry Rozier,BOS,PG,80,900,376,232,19,80,39.5,77.2,38.1,115,163,153,80,2068,1,1,1817.2
Jeremy Lamb,CHA,SG,80,1033,324,187,32,61,45.7,86.1,37.2,179,286,94,93,1967,0,0,1795.3
Serge Ibaka,TOR,PF,76,959,478,62,99,29,48.3,79.7,36.0,94,272,107,90,2095,8,0,1791.6
Bobby Portis,CHI,PF,73,964,498,123,23,49,47.1,76.9,35.9,120,302,80,103,1642,12,0,1787.1
Domantas Sabonis,IND,C,74,861,572,151,32,40,51.4,75.0,35.1,168,327,13,137,1812,15,0,1780.9
Buddy Hield,SAC,SG,80,1079,307,155,22,85,44.6,87.7,43.1,71,240,176,124,2024,0,0,1769.9
Marcin Gortat,WAS,C,82,690,623,151,61,40,51.8,67.5,,110,290,0,99,2074,15,0,1767.1
Ish Smith,DET,PG,82,894,224,360,20,64,48.6,69.8,34.7,81,354,35,108,2042,3,0,1762.8
Tyreke Evans,MEM,SG,52,1010,265,269,17,57,45.2,78.5,39.9,164,252,114,117,1607,7,0,1762.5
Kristaps Porzingis,NY,PF,48,1088,316,57,115,36,43.9,79.3,39.3,218,300,90,93,1553,5,0,1761.7
Elfrid Payton,PHO,PG,63,797,274,393,22,83,49.3,64.9,32.6,109,299,30,168,1808,8,2,1757.3
Dirk Nowitzki,DAL,PF,77,927,438,120,44,43,45.6,89.8,40.9,97,208,138,51,1900,5,0,1755.6
Darren Collison,IND,PG,69,855,178,368,15,93,49.5,88.2,46.8,127,220,96,86,2018,6,0,1750.6
Hassan Whiteside,MIA,C,54,754,618,54,94,38,53.9,70.3,100.0,128,310,2,93,1364,28,0,1747.6
Kelly Olynyk,MIA,C,76,872,431,207,35,62,49.7,77.0,37.9,134,210,106,148,1779,7,0,1745.7
James Johnson,MIA,PF,73,788,358,280,51,70,50.3,69.8,30.8,113,252,57,143,1943,6,0,1736.6
John Collins,ATL,PF,74,777,541,98,80,47,57.6,71.5,34.0,133,298,16,105,1785,11,0,1722.2
Jordan Clarkson,CLE,PG,81,1124,216,221,6,58,45.1,80.0,35.2,152,318,112,127,1887,1,0,1715.7
J.J. Redick,PHI,SF,70,1198,178,210,6,35,45.9,90.4,42.0,197,211,193,103,2115,0,0,1705.6
Josh Jackson,PHO,SF,77,1012,351,120,35,80,41.7,63.4,26.3,177,332,57,146,1959,5,0,1697.2
Brandon Ingram,LAL,SF,59,949,314,230,43,45,47.0,68.1,39.0,192,317,41,150,1974,6,0,1696.8
